identity,n_animal_pairs,same_similarity,hard_similarity,specificity_margin,median_specificity_margin,n_test_queries,mprt_top1
AWAL,506,0.5457498922329761,0.4809771949420973,0.06477269729087885,0.06945758841707772,69,0.8115942028985508
AWAR,506,0.5291347889986646,0.47472452094792494,0.05441026805073961,0.04451641253783878,69,0.4782608695652174
AWBL,1122,0.5506237366452625,0.4434481480176803,0.10717558862758222,0.1135763783576561,102,0.7156862745098039
AWBR,342,0.5135432522463792,0.46126542106525575,0.05227783118112326,0.05313184090326295,57,0.5964912280701754
AWCL,1056,0.4449535173853756,0.4068579014794175,0.038095615905958044,0.03197818875586275,99,0.7070707070707071
AWCR,342,0.48828904356237507,0.45207811555151317,0.03621092801086194,0.05044425526919441,57,0.6666666666666666
BAGL,272,0.6051257333896299,0.37304903719093613,0.23207669619869384,0.2372734926140643,51,0.9411764705882352
BAGR,6,0.7530495302756471,0.43771565331363643,0.3153338769620106,0.28367637087891245,9,0.1111111111111111
CEPDL,1406,0.5914250748219722,0.4660719749121425,0.12535309990982976,0.12060661237481562,114,0.8421052631578947
CEPDR,992,0.6124342301802486,0.480314830383677,0.13211939979657147,0.12701388200047223,96,0.75
CEPVL,1056,0.486545380714521,0.4013206320130356,0.08522474870148547,0.09652395198226513,99,0.696969696969697
CEPVR,756,0.4876534217951404,0.40004462298262256,0.08760879881251787,0.08770128873531316,84,0.5833333333333334
FLPL,1056,0.6599042997731663,0.517071657947706,0.1428326418254602,0.15350739530861326,99,0.5353535353535354
FLPR,210,0.632007146572361,0.45181621769125063,0.18019092888111043,0.1830929906503078,45,0.5555555555555556
I1L,1122,0.7265299224922237,0.5947457776738322,0.13178414481839143,0.13029963962838637,102,0.9019607843137256
I1R,812,0.7228419428746194,0.590748391089929,0.1320935517846905,0.1406815741574448,87,0.8850574712643678
I2L,1332,0.5787329409789421,0.4907800331663551,0.08795290781258691,0.09621041353857637,111,0.8378378378378378
I2R,870,0.6134799823124583,0.5103180940400844,0.10316188827237387,0.10372651017700624,90,0.9333333333333332
I3,1332,0.6825889032854536,0.2866624358760846,0.395926467409369,0.40587683345919756,111,0.945945945945946
I4,72,0.7173967474767186,0.47047646473626653,0.24692028274045205,0.2498694076637562,27,0.6666666666666666
I5,6,0.6143813977094833,0.5370952589821216,0.0772861387273616,0.037189811247464066,9,0.0
I6,132,0.49796449126932907,0.48021648877766593,0.017748002491663157,0.04585717296016087,36,0.1388888888888889
IL1DL,756,0.6375852403897287,0.5542540660966888,0.08333117429303989,0.09645129693811624,84,0.7976190476190477
IL1DR,1056,0.6754220121928193,0.5451028561794663,0.1303191560133529,0.12376279620169217,99,0.8282828282828283
IL1L,992,0.6632773178030582,0.5172590966272137,0.14601822117584443,0.1442568009254127,96,0.84375
IL1R,930,0.708371607261111,0.4936305555999808,0.21474105166113033,0.2062279482659266,93,0.8172043010752689
IL1VL,306,0.6012703327492167,0.45641702913289306,0.14485330361632368,0.1522929670775066,54,0.7037037037037037
IL1VR,506,0.6029828468411824,0.4412319491339664,0.1617508977072161,0.16248872474618534,69,0.8405797101449275
IL2DL,1260,0.6570776926195809,0.4999652297904807,0.15711246282910035,0.16885129520498698,108,0.8333333333333334
IL2DR,756,0.6320446248813538,0.5094791102371108,0.12256551464424305,0.13889629421884905,84,0.7976190476190477
IL2L,756,0.6074791166201606,0.517793694965308,0.08968542165485259,0.08700052581895062,84,0.6785714285714286
IL2R,552,0.6099943522499054,0.5003181331376699,0.10967621911223548,0.12364755249331708,72,0.5972222222222222
IL2VL,702,0.6237079507282407,0.5347868813967048,0.08892106933153587,0.09420919549917506,81,0.9629629629629628
IL2VR,812,0.5647227323549848,0.5103711173509292,0.054351615004055505,0.048313876824687206,84,0.9166666666666666
M1,342,0.624227841767022,0.43060692296184655,0.19362091880517535,0.21331698504963292,57,0.7719298245614035
M3L,1406,0.6475152024508474,0.5507266509383325,0.09678855151251496,0.09280489915133028,114,0.7982456140350878
M3R,1190,0.6434240850259922,0.5228639107012538,0.12056017432473835,0.12539815071118138,105,0.819047619047619
M4,756,0.628430452542373,0.4677764610736124,0.16065399146876047,0.17253168791827095,84,0.8571428571428571
M5,506,0.49782250177704557,0.48367242022391865,0.014150081553126824,0.02663762090963262,69,0.7536231884057971
MCL,702,0.7314342878350498,0.5901112198421843,0.1413230679928656,0.13573557657715174,81,0.8024691358024691
MCR,132,0.6823677366375601,0.5898348715007982,0.09253286513676191,0.07844890873597385,36,0.8333333333333334
MI,812,0.678451439581226,0.49704738781097896,0.181404051770247,0.19435412392643286,87,0.8735632183908046
NSML,1190,0.7291901071281607,0.5660487794746066,0.16314132765355413,0.16488956289545537,105,0.780952380952381
NSMR,1122,0.7255119288435573,0.5452970107864127,0.1802149180571445,0.16718203175324475,102,0.7941176470588235
OLLL,1056,0.647309000310356,0.5373577683470232,0.10995123196333284,0.10742110175794573,99,0.898989898989899
OLLR,1056,0.6540864101046567,0.5416747611137788,0.11241164899087791,0.11568244462344479,99,0.8787878787878788
OLQDL,1260,0.665005324567477,0.5535451412491917,0.11146018331828528,0.11008691531040521,108,0.8703703703703703
OLQDR,1190,0.6484736398541685,0.5665944193780205,0.08187922047614796,0.07785556866765236,105,0.8380952380952381
OLQVL,992,0.6528655942704162,0.4998843928847592,0.15298120138565702,0.15215024603939803,96,0.8645833333333334
OLQVR,702,0.625461312399564,0.46507681631631476,0.16038449608324915,0.14380907989849545,81,0.8024691358024691
RIAL,600,0.463962847522403,0.42389873657603533,0.040064110946367755,0.038508389227868645,75,0.9733333333333334
RIAR,210,0.4643177141817136,0.4396905134129904,0.02462720076872308,0.02908964629531094,45,0.8444444444444444
RIBL,240,0.7701722771396987,0.37522283894886027,0.3949494381908385,0.3990512433069169,48,0.8541666666666666
RIBR,20,0.7127424956077746,0.44634405181845754,0.2663984437893171,0.26561458492804857,15,0.4666666666666667
RICL,1056,0.6253347441312401,0.5047633750996171,0.12057136903162305,0.11259240340094517,99,0.6060606060606061
RICR,380,0.5936779417466574,0.4551849758153664,0.13849296593129107,0.14966766812154464,60,0.6
RID,992,0.7315267531919875,0.5553128012812639,0.1762139519107236,0.1614238729229958,96,0.9583333333333334
RIH,506,0.43259838742940454,0.31638933665241137,0.11620905077699313,0.11968212098404876,69,0.4782608695652174
RIML,132,0.7663783107639579,0.34225866948035705,0.42411964128360086,0.4082727838890902,36,0.9166666666666666
RIMR,132,0.8122266944870614,0.49138328665750747,0.320843407829554,0.3117436151948828,36,0.8888888888888888
RIR,20,0.5342273389105433,0.47774567577769667,0.05648166313284675,0.03165747973286567,15,0.4
RIS,56,0.4206691777412538,0.4192744864720129,0.001394691269240895,0.017937738205093118,24,0.0
RIVL,1260,0.6377627516063731,0.4116293551954082,0.22613339641096478,0.22926681293190432,108,0.8981481481481481
RIVR,702,0.6922472965555247,0.47492027588317065,0.2173270206723541,0.21396035579596137,81,0.8518518518518519
RMDDL,812,0.5735133626211739,0.40431236043030966,0.16920100219086426,0.1699356176151278,87,0.7241379310344828
RMDDR,870,0.5436227717724933,0.4077012057625099,0.13592156600998342,0.14602121821952743,90,0.7666666666666667
RMDL,1056,0.6067879871522726,0.5115458880617367,0.09524209909053595,0.09307824057934183,99,0.898989898989899
RMDR,420,0.5911018609846624,0.5018601548824035,0.0892417061022588,0.09329283924649748,63,0.6666666666666666
RMDVL,930,0.5173022265851397,0.37365807698847564,0.14364414959666402,0.15657156229610855,93,0.9247311827956988
RMDVR,992,0.5646963704714191,0.4163948333422119,0.14830153712920707,0.15195353003743567,96,0.8333333333333334
RMED,132,0.7608917334080236,0.5113886695555317,0.249503063852492,0.23384912363720947,36,1.0
RMEL,1056,0.6462718449879824,0.4304302551386968,0.2158415898492856,0.22048312121793096,99,0.8888888888888888
RMER,1260,0.7161047525428321,0.4405588348239498,0.27554591771888237,0.27207991963655404,108,0.9537037037037036
RMEV,342,0.5832978012700667,0.3077596263823285,0.27553817488773824,0.29449152226283704,57,0.6491228070175439
RMFL,12,0.3630295067263479,0.4201206509607272,-0.05709114423437931,-0.10316572391077077,12,0.0
RMGL,342,0.6705906071054539,0.4289587510321401,0.2416318560733138,0.24630234862958583,57,0.7719298245614035
SAADL,56,0.4351965925451718,0.35033138115478213,0.08486521139038965,0.06974329743733748,24,0.0416666666666666
SAADR,90,0.37159720399530105,0.36480544277203014,0.006791761223270926,-0.0009022105852775353,30,0.0666666666666666
SAAVL,342,0.5985810922367816,0.4119211790499009,0.1866599131868807,0.19767352451015768,57,0.7543859649122807
SAAVR,110,0.6414853738946815,0.4716872647554591,0.1697981091392224,0.16935244241934896,33,0.5757575757575758
SIBDL,2,0.6203301489326492,0.27154672140197444,0.3487834275306747,0.3487834275306747,6,0.0
SIBDR,2,0.6948547346247653,0.5721559254865302,0.12269880913823517,0.12269880913823517,6,0.0
SMBDL,2,0.7538755085945248,0.5925387314933389,0.16133677710118588,0.16133677710118588,6,0.0
SMBDR,20,0.4725006148545786,0.501853702438845,-0.02935308758426643,-0.1483526841017326,15,0.0
SMBVL,6,0.468217753867171,0.49306536086078306,-0.024847606993612003,-0.15574804109280577,9,0.0
SMBVR,42,0.4318951994071882,0.43262904352022974,-0.0007338441130414123,0.042401625650080904,21,0.3333333333333333
SMDDL,210,0.38941197439553327,0.3207213958630812,0.068690578532452,0.0792351884927012,45,0.3777777777777777
SMDDR,156,0.35034045303672456,0.30805735597375944,0.04228309706296515,0.04632522000517973,39,0.1282051282051282
SMDVL,1122,0.5584226035371328,0.42493954318807203,0.13348306034906077,0.14462483939164067,102,0.8333333333333334
SMDVR,702,0.5475860113151051,0.4135798926920082,0.13400611862309686,0.15440136484343686,81,0.7160493827160493
URADL,306,0.6986699481078696,0.4581588910493103,0.24051105705855927,0.2207035728644092,54,0.7592592592592593
URADR,56,0.6575475629049651,0.413065299613515,0.2444822632914499,0.22908696041899368,24,0.8333333333333334
URAVL,210,0.5605797779158842,0.4251484801268597,0.1354312977890246,0.13387284727384793,45,0.6222222222222222
URAVR,12,0.511589099339785,0.36829848622479605,0.14329061311498884,0.12900283157001668,12,0.0
URBL,992,0.6221667739489599,0.4950465338153916,0.12712024013356846,0.1270836146732348,96,0.78125
URBR,506,0.5681861645702118,0.510711349898651,0.05747481467156064,0.05682338892548924,69,0.6666666666666666
URXL,1122,0.5794930029061743,0.5181542468790377,0.061338756027136614,0.07063325198098053,102,0.7352941176470589
URXR,870,0.549159184258746,0.5147645050009579,0.03439467925778807,0.04456808799313089,90,0.5777777777777777
URYDL,812,0.5537980495179683,0.44582100289167026,0.10797704662629813,0.13234948622271372,87,0.7816091954022989
URYDR,420,0.5618451373139101,0.4689805265614804,0.09286461075242974,0.10662380179366798,63,0.7936507936507936
URYVL,1056,0.6529269882016472,0.3715348950613584,0.2813920931402888,0.28451745846565224,99,0.898989898989899
URYVR,870,0.5690491801639399,0.359673422287946,0.20937575787599375,0.22073639327473252,90,0.8
VB02,342,0.6714661548635718,0.5118922333574485,0.1595739215061233,0.1529220603538436,57,0.5087719298245614
